"","Estimate","lwr","upr","p_value","std_error","model"
"LBF - LF25",-0.473938208275688,-0.989337735916602,0.041461319365226,0.0840175499196902,0.203199772494337,"PD_q1_small_PGM"
"SF - LF25",-0.723857929577361,-1.45949801773451,0.0117821585797925,0.0557092094150367,0.290031112825144,"PD_q1_small_PGM"
"SF - LBF25",-0.249919721301673,-1.01718159906835,0.517342156465004,0.833089488378162,0.302498218652597,"PD_q1_small_PGM"
"LF - UF26",-0.810941919658906,-1.80294566430701,0.181061824989195,0.150813382411824,0.390323375415322,"PD_q2_small_PGM"
"LBF - UF26",-0.763242056204801,-1.79803923610712,0.271555123697513,0.226655074888861,0.407161293804397,"PD_q2_small_PGM"
"SF - UF26",-0.397982952157954,-1.57727563234183,0.781309728025922,0.818023516760233,0.464015889068281,"PD_q2_small_PGM"
"LBF - LF26",0.0476998634541052,-0.503736113370511,0.599135840278721,0.996014009071174,0.216973325918222,"PD_q2_small_PGM"
"SF - LF26",0.412958967500952,-0.368569748581964,1.19448768358387,0.520161010410907,0.30750783763795,"PD_q2_small_PGM"
"SF - LBF26",0.365259104046847,-0.444110237336339,1.17462844543003,0.646875036458329,0.318462278989106,"PD_q2_small_PGM"
"LF - UF27",0.27637273852735,-0.484014045449368,1.03675952250407,0.786002877591198,0.296507868509037,"TD_q0_small_STM"
"LBF - UF27",0.280477154218749,-0.522138616213451,1.08309292465095,0.805350080433152,0.312974786434316,"TD_q0_small_STM"
"SF - UF27",-0.6865820520563,-1.44970022903257,0.0765361249199688,0.0951188017845249,0.297572957399879,"TD_q0_small_STM"
"LBF - LF27",0.00410441569139908,-0.668837429087383,0.677046260470181,0.999998611661582,0.262409284630603,"TD_q0_small_STM"
"SF - LF27",-0.96295479058365,-1.5963320120275,-0.3295775691398,0.000553896568725731,0.246981317731901,"TD_q0_small_STM"
"SF - LBF27",-0.967059206275049,-1.61204569582924,-0.322072716720859,0.000568916873427527,0.251508276136339,"TD_q0_small_STM"
"LF - UF28",0.326648231705678,-0.382444734758068,1.03574119816942,0.636517529807581,0.276681555511821,"TD_q1_small_STM"
"LBF - UF28",0.339982663818688,-0.414610529059649,1.09457585669702,0.652922515800906,0.29443532549111,"TD_q1_small_STM"
